"","m_1","m_2","m_3","m_4","m_5","m_6","m_7","m_8","m_9","m_10","m_11","m_12","m_13","m_14","m_15","m_16","m_17","m_18","m_19","m_20","m_21","m_22","m_23","m_24","m_25","m_26","m_27","m_28","m_29","m_30","m_31","m_32","m_33","m_34","m_35","m_36","m_37","m_38","m_39","m_40","m_41","m_42","m_43","m_44","m_45","m_46","m_47","m_48","m_49","m_50","m_51","m_52","m_53","m_54","m_55","m_56","m_57","m_58","m_59","m_60","m_61","m_62","m_63","m_64","m_65","m_66","m_67","m_68","m_69","m_70","m_71","m_72","m_73","m_74","m_75","m_76","m_77","m_78","m_79","m_80","m_81","m_82","m_83","m_84","m_85","m_86","m_87","m_88","m_89","m_90","m_91","m_92","m_93","m_94","m_95","m_96","m_97","m_98","m_99","m_100","m_101","m_102","m_103","m_104","m_105","m_106","m_107","m_108","m_109","m_110","m_111","m_112","m_113","m_114","m_115","m_116","m_117","m_118","m_119","m_120","m_121","m_122","m_123","m_124","m_125","m_126","m_127","m_128"
"s_1",10485.86719,33220.5625,1112.979492,1408.639648,455.7529297,1100.402344,122.3631592,3855.804688,1637.482422,6194.292969,28793.65625,5200.796875,5931.679688,2856.539063,402.9958496,636.1098633,2175.460938,128.3708496,186.2612305,487.4763184,96.12304688,4949.261719,491.0209961,2000.558594,18527.89063,7322.976563,2470.804688,19973.71875,94775.9375,904.5249023,38524.09375,635.1049805,40.22521973,58.5340271,19.72886658,225.4434814,104.4465942,91.32659912,95.43280029,1265.545898,4070.453125,1580.375,9009.046875,2288.988281,903.090332,844.8652344,1176.017578,485.4487305,748.9946289,441.5791016,345.0083008,514.1181641,172.9486084,419.5842285,250.1734619,266.7990723,280.3059082,83.27734375,13685.90625,468.0869141,376.5270996,785.3999023,141.6647949,25157.60938,343.3015137,16261.64063,6100.070313,508.6123047,504.204834,6839.851563,1362.678711,1613.516602,1605.34668,21462.78125,118471.25,168735.5,2191.771484,9476.929688,48361.375,126170.625,319.1113281,28374.21875,86065.4375,27211.79688,87608.9375,1724.162109,10587.5625,1682.532227,10017.91406,1102.201172,644.9418945,3116.220703,3599.111328,37487.4375,7625.640625,22602.15625,105069,44805.25,826.1499023,140.5394287,496.7390137,24168.125,3894.917969,21435.60938,24191.85938,13150.82031,6741.867188,6558.207031,2760.298828,1932.375977,1065.045898,426.6630859,942.0908203,1498.650391,1425.416992,1092.90332,219.5535889,723.2807617,606.2822266,253.3786621,353.4572754,45.78625488,525.065918,237.0788574,156.3608398,658.3129883,349.2041016,511.3266602
"s_2",8960.46875,29995.51563,926.2890625,529.0449219,873.609375,2201.246094,173.0802002,5090.636719,2011.500977,8868.859375,31683.09375,6183.988281,5996.105469,6867.921875,668.8051758,635.4882813,2171.751953,195.6738281,270.9208984,466.0231934,123.4793701,5854.121094,476.4213867,2063.136719,18673.10938,6764.566406,16793.84375,52923.53125,143203,1522.882813,86060,812.8007813,80.77832031,774.6025391,221.0510254,564.8647461,210.3710938,261.9963379,348.2912598,1742.196289,2264.109375,1109.526367,8684.132813,6532.835938,638.8286133,885.0043945,1081.351563,616.2661133,648.1665039,451.3354492,294.7912598,542.2172852,153.7718506,408.0664063,255.473877,463.8830566,184.2762451,201.5965576,13227.32031,749.1591797,240.3709717,891.5498047,233.0098877,34724.53125,354.8579102,15430.45313,10437.66406,388.4716797,654.1176758,5693.105469,1602.28125,1545.420898,1494.086914,22402.9375,109289.9375,166564.5,2829.660156,9747.921875,49621.5,119012.3125,388.4321289,24220.82813,81060.25,24558.625,40498.90625,1797.087891,12509.39063,2502.613281,15773.78125,738.6616211,647.8701172,2562.925781,2936.708984,36714.21875,6769.179688,25633.375,137279,60120.09375,2719.193359,133.3673096,4251.226563,29356.20313,7182.019531,25653.96875,24164.70313,11310.67969,7600.273438,1205.875,2492.414063,2847.269531,990.5063477,409.7197266,942.7597656,1334.625977,1451.629883,1739.702148,445.3496094,759.8642578,739.5292969,339.3137207,408.1499023,304.3642578,500.3869629,220.7139893,195.4637451,2037.707031,686.5,671.9760742
"s_3",10160.44531,28559.64063,1230.333008,1306.320313,1027.507813,2066.591797,269.7998047,4483.90625,1644.607422,7776.335938,44494.59375,10505.57813,5466.324219,4147.8125,349.9509277,708.2636719,2550.304688,366.276123,386.4260254,586.2373047,116.9800415,4381.71875,528.453125,1708.871094,13645.50781,4804.984375,42331.78125,69589.5625,137722.25,1029.021484,47345.4375,403.8518066,83.53955078,1468.652344,247.5657959,1406.358398,535.7543945,487.9963379,293.904541,1584.224609,2038.919922,690.8500977,8061.371094,5268.667969,1062.253906,995.5375977,772.703125,834.703125,743.277832,427.8007813,216.8841553,294.8657227,143.5854492,458.5756836,220.2468262,185.3770752,165.2232666,205.3297119,9858.070313,361.440918,560.2519531,796.7670898,371.3225098,32073.84375,625.1855469,15885.71094,7857.546875,497.8430176,617.9331055,18636.54688,2595.34375,2516.078125,2043.853516,24495.40625,122129.375,154639.875,5724.855469,5261.855469,64930.59375,128525.6875,1074.43457,45160.40625,86517.75,29970.59375,48865.40625,3419.644531,14686.77344,1437.757813,13827.24219,1124.857422,635.8203125,1822.436523,3081.412109,27724.17188,4681.570313,28087.57813,107136.5625,32222.14063,935.2060547,245.6763916,4285.171875,8998.570313,3784.34375,35624.21875,20605.82813,12299.35938,9178.6875,615.7495117,2297.828125,1242.21875,877.902832,495.486084,887.4262695,1257.803711,1341.012695,1022.277344,318.6958008,635.171875,291.1538086,359.8479004,275.2302246,608.9799805,419.3183594,303.6992188,217.0227051,591.4936523,295.0268555,384.824707
"s_4",8794.476563,27593.75,901.762207,1800.083008,675.0395508,1675.849609,287.9992676,4949.261719,1508.802734,8405.171875,37030.40625,10726.67969,4638.753906,2738.947266,379.0058594,634.7485352,2218.515625,371.4868164,357.017334,821.815918,200.6999512,6419.300781,536.4291992,1459.583008,17482.4375,5762.941406,43178.15625,83140.875,155723.625,1816.495117,82864.25,638.1015625,214.8114014,2633.181641,509.8317871,1316.578125,539.3198242,600.3012695,968.5356445,1466.974609,4637.613281,1546.402344,8446.914063,5819.890625,918.8603516,1063.000977,661.3095703,826.9492188,750.5888672,422.2092285,311.7763672,355.7114258,149.0427246,394.4128418,238.1877441,303.4055176,290.5151367,332.161377,11394.60156,392.6384277,567.7485352,810.4248047,292.2575684,32813.65625,628.6098633,14041.39844,8213.1875,651.2729492,589.6103516,14732.375,2848.300781,2156.494141,1904.073242,21974.6875,126878.375,179894.375,5784.4375,6718.742188,52907.0625,119293.1875,619.1630859,32431.39063,83351,30138.0625,70949.375,2266.292969,13505.53125,1451.829102,9990.351563,1425.661133,644.4892578,2088.400391,2810.828125,32057.20313,5717.683594,23811.8125,147899.25,59334.84375,2410.755859,226.9530029,7040.007813,24521.73438,7275.546875,37616.5625,22770.07813,11380.04688,7933.394531,9899.328125,1951.350586,1800.439453,1220.682617,493.7763672,886.1450195,1394.52832,1456.02832,1485.59375,610.2382813,654.6103516,439.130127,366.5598145,331.059082,710.0810547,494.145752,275.973877,195.3145752,531.5898438,266.6369629,606.4550781
"s_5",8956.921875,28161.76563,979.1723633,818.0366211,904.0253906,1245.991211,167.4133301,4302.933594,1460.012695,6976.429688,29579.53125,5421.988281,4945.203125,2321.919922,276.5505371,592.5039063,2214.279297,209.0930176,259.7424316,591.4970703,79.1963501,4173.667969,544.456543,1625.245117,12844.72656,5259.5,20114.65625,42826.53125,114590.75,1232.357422,44410.03125,522.5512695,55.20629883,446.6513672,78.72814941,882.9106445,236.2637939,313.0834961,310.9760742,838.6669922,2355.185547,705.8818359,6070.214844,2419.667969,885.6259766,771.0083008,739.6743164,320.0756836,753.4067383,333.7392578,288.6784668,415.6806641,148.8503418,301.5515137,264.6308594,212.4554443,110.1599121,151.2819824,11188.375,433.4736328,301.3278809,690.9145508,253.1397705,28929.67188,396.0483398,11959.65625,6378.183594,456.9355469,621.7167969,8826.789063,2231.421875,2265.939453,2422.644531,21141.90625,109445.3125,153107.375,4251.226563,5867.246094,53165.375,86640.1875,317.4077148,28731.54688,43762.46875,19778.60938,45537.875,1301.235352,13224.875,1225.362305,7625.730469,722.418457,598.9863281,2189.564453,3837.574219,33994.1875,4794.140625,21942.14063,106455.8125,39952.21875,1130.123047,176.2114258,2051.0625,11396.16406,1978.387695,22243.67188,21464.39063,11479.05469,6807.320313,1313.045898,2334.335938,1287.800781,947.5200195,511.2912598,716.097168,1283.605469,1388.972656,1188.125977,275.0910645,705.34375,426.7734375,333.6896973,347.7519531,346.0571289,275.2036133,213.4749756,190.8724365,687.1015625,473.9494629,539.4936523
"s_6",9092.257813,31685.3125,634.6899414,478.3811035,980.4233398,1259.563477,97.5625,4406.34375,2349.587891,7090.136719,39835.71875,5657.808594,5214.097656,5498.777344,663.684082,462.3654785,4440.679688,299.6662598,328.3381348,758.4829102,204.2067871,5537.476563,404.3601074,2037.191406,16801.23438,9035.34375,39803.875,68526.5625,154665.375,2799.714844,76395.5625,624.6953125,82.76330566,1751.814453,414.7451172,2329.033203,1390.521484,467.3496094,882.5014648,1061.003906,2489.005859,702.8774414,6742.800781,7428.25,651.7431641,660.9887695,1219.813477,415.9431152,695.5722656,375.8195801,270.8464355,877.2148438,378.7912598,556.5566406,233.2182617,506.7648926,97.27520752,232.0224609,11621.5625,882.7216797,585.9291992,845.6445313,442.861084,35990.46875,875.5551758,15162.71094,9318.460938,485.8920898,685.3535156,17563.625,4757.328125,4547.136719,6515.976563,24931.54688,121696,180006.625,6131.847656,7454.832031,70843.875,108342.125,736.7861328,33606.34375,70384.125,26041.10938,58492.4375,1459.359375,15653.82031,1942.920898,8147.648438,632.5849609,677.0131836,2213.048828,4657.550781,31307.85938,6070.625,25787.92188,129380.4375,58628,1733.078125,250.8011475,9890.8125,19971.42188,4708.164063,22793.65625,24291.1875,13481.75,8435.242188,270.4462891,2165.992188,2973.523438,765.1699219,303.1328125,1063.980469,1356.882813,1332.838867,1537.239258,630.4731445,716.9941406,1409.755859,479.6496582,312.9221191,657.402832,349.597168,226.2182617,193.855957,1772.904297,810.7412109,589.9423828
"s_7",2271.044922,7692.175781,143.1688232,109.8399048,730.6171875,1387.791992,149.0966797,1543.40625,961.7314453,2356.685547,20212.70313,4483.90625,3167.738281,1150.330078,170.4561768,470.3134766,1346.599609,141.6328125,114.4971313,270.3525391,74.08325195,2273.451172,1116.28418,848.359375,10324.03906,4013.095703,11735.01563,33191.75,83251.8125,1301.804688,33287.21875,152.3222656,24.07556152,394.4838867,88.61273193,352.5446777,151.7509766,203.545166,218.321167,861.2675781,11240.78906,2832.824219,1067.615234,1131.551758,356.9389648,483.9091797,426.9663086,404.8759766,652.887207,395.8964844,267.2033691,136.4384766,78.71343994,261.5339355,117.5123901,224.7374268,385.3615723,71.06378174,5130.234375,229.3833008,101.9591064,324.699707,151.7896729,15307.96094,418.4018555,8702.5,4277.078125,327.1547852,251.3563232,7338.777344,1054.141602,1138.182617,858.3579102,10195.36719,60514.71875,68200.0625,955.9077148,1671.457031,33002.78125,57742.65625,351.2480469,22960.625,40684.78125,10205.49219,26077.34375,2007.734375,6874.664063,643.5297852,5795.453125,376.7905273,160.9737549,911.0400391,1366.228516,12060.91406,2225.417969,9998.976563,76279,39866.5,834.175293,45.5696106,2758.431641,19233.57813,7345.816406,14808.89844,2612.625,1914.151367,1778.37793,492.4101563,677.4492188,1145.779297,509.9260254,918.7641602,397.0908203,402.2172852,442.3828125,592.6518555,174.7958984,137.4932861,252.347168,185.8459473,64.60009766,188.1240234,84.89074707,303.0197754,166.2342529,400.880127,88.64398193,116.5792236
"s_8",7850.402344,26462.79688,822.5991211,1341.21582,583.5830078,2164.126953,227.7696533,5030.6875,1604.274414,6241.457031,30873.14063,8130.191406,5415.570313,5519.46875,421.013916,810.2075195,2479.191406,167.4031982,189.5653076,371.4775391,169.7359619,3398.072266,525.6821289,2444.150391,14922.03125,5337.058594,41083.375,82485.875,158279,2009.802734,85778.625,591.4287109,534.4545898,3760.015625,881.5317383,1521.924805,718.9458008,662.5327148,773.6386719,862.737793,12665.5,4620.988281,10883.07031,5931.679688,1013.712402,1165.407227,542.4394531,631.519043,687.0703125,533.4077148,283.1079102,369.0197754,211.0634766,509.3681641,259.4597168,319.5068359,674.2773438,311.6125488,10855.97656,468.1560059,422.1223145,855.3950195,262.7763672,26757.32813,393.6315918,13965.01563,4820.695313,482.8518066,524.6142578,10388.03906,1826.053711,2096.798828,1559.992188,23081.34375,108344.9375,140415.625,2156.810547,4805.75,47567.59375,147862.875,920.6083984,35730.9375,120363.75,24213.23438,70715.125,2345.242188,13623.92969,2219.083984,12831.76563,871.9057617,588.8178711,1918.419922,2800.974609,29102.82813,4277.078125,25170.5,147735.5,68669.75,2303.525391,305.8623047,10373.99219,22762.32813,10310.79688,20080.85938,20682.04688,9864.429688,9267.6875,551.362793,2085.818359,1690.385742,1100.651367,578.7983398,883.0820313,1110.083008,1281.198242,1420.90625,577.1049805,656.7294922,471.7888184,419.2092285,227.7651367,670.5161133,568.7587891,252.4161377,168.3027344,586.6933594,350.6162109,441.5310059
"s_9",10969.0625,21605.14063,408.0004883,1499.479492,452.2375488,916.5283203,234.4975586,4657.253906,1847.6875,6606.15625,34395.96875,7142.320313,5130.234375,2549.775391,317.458252,791.7114258,2479.310547,265.9592285,297.3913574,510.6796875,360.5358887,6455.914063,459.6459961,1760.329102,17431.1875,5805.960938,56862.53125,127950.6875,215359.5,2774.173828,114605.875,744.4345703,1069.554688,7716.917969,2141.539063,3456.089844,1140.525391,1612.444336,1583.064453,1562.095703,18892.125,4826.539063,6524.664063,10038.44531,555.8193359,924.4614258,570.2539063,388.7509766,739.8769531,390.4206543,224.7294922,364.1098633,139.4484863,371.7373047,269.994873,475.8518066,810.3149414,540.4946289,12138.27344,667.0107422,305.5148926,807.6313477,286.0087891,28400.92188,302.005127,14299.24219,5302.539063,470.2272949,608.3540039,7320.601563,1993.503906,1961.361328,2425.105469,21050.59375,115660.125,161160.5,4406.34375,4010.314453,61520,118653.5625,469.1640625,34429.1875,74070.0625,27177.79688,91406.4375,1586.25293,15413.65625,1023.650879,8410.203125,1254.577148,616.6289063,1969.75,3675.130859,34764.96875,4462.25,22864.01563,226362.5,89412.3125,4587.152344,798.7563477,11303.19531,44333.28125,12742.38281,28669.23438,19065.375,13764.73438,6053.53125,1729.983398,2224.398438,2734.314453,1097.74707,443.6716309,1279.763672,1414.428711,1350.977539,2575.121094,1018.819824,678.6367188,561.4165039,482.6000977,299.6384277,1005.57373,383.4506836,258.1552734,172.661499,794.3764648,533.5551758,497.5073242
"s_10",1743.932617,7647.644531,218.4199219,127.4294434,408.2912598,999.5717773,74.82696533,1510.011719,895.9853516,2407.103516,18256.14063,2358.162109,3453.384766,1738.238281,395.0483398,686.4155273,1688.985352,156.5236816,154.3709717,350.7338867,47.59494019,2745.412109,1089.089844,1160.331055,12383.5625,5962.515625,7473.265625,21011.29688,67782.125,979.5146484,27180.53125,206.4381104,20.07527161,386.0634766,78.96081543,303.5114746,159.7403564,124.1604004,289.401123,920.5375977,8250.742188,1866.112305,1336.939453,857.2944336,342.4956055,401.902832,515.3056641,399.6774902,740.5390625,394.5825195,394.359375,210.8374023,154.3709717,252.0412598,140.142334,274.217041,319.2006836,49.91436768,5583.332031,294.5686035,91.2557373,337.9990234,158.590332,12569.14844,213.8809814,9891.335938,3361.595703,223.4926758,269.034668,4768.289063,1330.81543,1152.995117,1226.897461,9665.765625,60628.6875,67639.4375,1283.598633,2460.833984,30276.84375,62504.53125,513.9741211,21301.79688,45534.59375,9652.867188,29715.84375,1497.87793,7196.230469,857.6870117,7300.636719,439.1994629,139.5629883,1088.823242,1798.957031,15343.3125,3832.078125,10613.99219,71448.6875,32460.85938,507.0480957,55.98458862,2167.96875,14852.90625,6024.625,15753.50781,2540.162109,1572.103516,2353.490234,836.434082,733.2832031,1457.974609,478.1323242,942.6376953,417.4255371,364.6010742,440.6289063,495.8823242,109.5075684,116.671936,384.3615723,173.3718262,81.42755127,153.7271729,108.1087646,269.3193359,160.3518066,304.6352539,95.75878906,227.9552002
